trade_date,open,high,low,close,pct_chg,volume,amount_est,ts_code,name,rzye,rqye,rzmre,rqyl,rzche,rqchl,rqmcl,rzrqye,financing_net,financing_net_ma5,rzye_slope_5d,rzye_ma10,rzye_acceleration,leverage_ratio,leverage_ratio_z20,rzye_z20,close_ma5,close_ma20,net_buy_3d_pos,rzye_new_high_20d,buy_signal,price_new_high_20d,sell_signal,future_return_3d,future_return_5d
20210602,1.126,1.134,1.103,1.105,-2.13,1620000000.0,1790100000.0,512880.SH,证券ETF,2729304346.0,44348395.975,328192702.0,40134295.0,289361451.0,6600000.0,3100000.0,2773652741.975,38831251.0,17928308.2,89641541.0,2770359049.2,-41054703.19999981,1.5246658544215408,-0.3672842103293146,-0.9956903032391045,1.129,1.07235,1,0,0,0,0,0.013574660633484337,0.0036199095022624306
20210603,1.106,1.124,1.102,1.105,0.0,1310000000.0,1447550000.0,512880.SH,证券ETF,2683177079.0,48989395.975,225883537.0,44334295.0,272010804.0,600000.0,4800000.0,2732166474.975,-46127267.0,2080765.2,10403826.0,2743773806.4,-60596727.400000095,1.853598893993299,0.09685190044837139,-1.1611472647735268,1.125,1.0765,0,0,0,0,0,0.015384615384615552,0.007239819004524861
20210604,1.099,1.146,1.097,1.111,0.54,1930000000.0,2144230000.0,512880.SH,证券ETF,2708705804.0,53521641.745,351773366.0,48174295.0,326244641.0,3960000.0,7800000.0,2762227445.745,25528725.0,15699352.8,78496764.0,2721177410.5,-12471606.5,1.2632533841985234,-0.5966004892568082,-0.9079442371012991,1.1187999999999998,1.0816999999999999,0,0,0,0,0,-0.0018001800180017513,-0.016201620162016206
20210607,1.111,1.132,1.107,1.12,0.81,1260000000.0,1411200000.0000002,512880.SH,证券ETF,2688824770.0,53955210.4,223331707.0,48174295.0,243317291.0,1100000.0,1100000.0,2742779980.4,-19985584.0,9937408.2,49791591.0,2698234896.4,-9410126.400000095,1.9053463506235824,0.2388522926482022,-0.9459056812676158,1.1139999999999999,1.0878,0,0,0,0,0,-0.006250000000000089,-0.03749999999999998
20210608,1.116,1.136,1.114,1.122,0.18,1330000000.0,1492260000.0000002,512880.SH,证券ETF,2659361927.0,54051558.99,215945096.0,48174295.0,245407939.0,600000.0,600000.0,2713413485.99,-29462843.0,-6243143.6,-31111168.0,2674152529.8,-14790602.80000019,1.7821036059399833,0.10003523862868145,-1.0469551963799686,1.1126,1.0932499999999998,0,0,0,0,0,-0.025846702317290693,-0.04634581105169344
20210609,1.122,1.126,1.105,1.109,-1.16,1130000000.0,1253170000.0,512880.SH,证券ETF,2699384408.0,53425293.155,214290791.0,48174295.0,174268310.0,0.0,0.0,2752809701.155,40022481.0,-6004897.6,-29919938.0,2680124690.1,19259717.900000095,2.1540448686131968,0.7676428157220977,-0.6989415334995654,1.1134,1.0982,0,0,0,0,0,-0.027953110910730272,-0.03155996393146976
20210610,1.109,1.129,1.107,1.113,0.36,1220000000.0,1357860000.0,512880.SH,证券ETF,2688631021.0,49165990.335,231642218.0,44174295.0,242395605.0,4600000.0,600000.0,2737797011.335,-10753387.0,1069878.4,5453942.0,2681710466.9,6920554.099999905,1.980050241556567,0.9961530525503934,-0.7083243794902274,1.115,1.10355,0,0,0,0,0,-0.038634321653189474,-0.02515723270440251
20210611,1.116,1.119,1.092,1.093,-1.8,1410000000.0,1541130000.0,512880.SH,证券ETF,2624140062.0,41123354.435,229373245.0,37624295.0,293864204.0,9892900.0,3342900.0,2665263416.435,-64490959.0,-16934058.4,-84565742.0,2681103569.1,-56963507.099999905,1.7027376418601934,0.2776576844793726,-1.1175980963178107,1.1114000000000002,1.1041500000000002,0,0,0,0,0,-0.017383348581884617,-0.008234217749313766
20210615,1.094,1.095,1.077,1.078,-1.37,1140000000.0,1228920000.0,512880.SH,证券ETF,2612453875.0,31305438.01,194566245.0,29040295.0,206252432.0,10384000.0,1800000.0,2643759313.01,-11686187.0,-15274179.0,-76370895.0,2678445638.7,-65991763.69999981,2.125812807180288,1.2375554510927846,-1.0987995968402369,1.1030000000000002,1.10475,0,0,0,0,0,0.006493506493506329,0.0018552875695732052
20210616,1.076,1.084,1.064,1.07,-0.74,1270000000.0,1358900000.0,512880.SH,证券ETF,2654060411.0,39633115.65,258353943.0,37040295.0,216747407.0,1450000.0,9450000.0,2693693526.65,41606536.0,-1060303.2,-5301516.0,2674804370.3,-20743959.30000019,1.9530947170505557,0.7763117183466229,-0.6791915828262854,1.0926000000000002,1.105,0,0,0,0,0,0.013084112149532645,0.014018691588784993
20210617,1.071,1.08,1.068,1.074,0.37,1160000000.0,1245840000.0,512880.SH,证券ETF,2631517945.0,34411276.83,175468544.0,32040295.0,198011010.0,6000000.0,1000000.0,2665929221.83,-22542466.0,-13573292.6,-67866463.0,2665025730.2,-33507785.19999981,2.112243903711552,1.1901799812716685,-0.7950950117385109,1.0856000000000001,1.1055000000000001,0,0,0,0,0,0.005586592178770999,0.013966480446927276
20210618,1.073,1.09,1.07,1.085,1.02,1300000000.0,1410500000.0,512880.SH,证券ETF,2595986274.0,36487785.075,219163066.0,33629295.0,254694737.0,6000000.0,7589000.0,2632474059.075,-35531671.0,-18528949.4,-92644747.0,2656306649.7,-60320375.69999981,1.8404723672456575,0.4542965000194443,-1.0675733142106525,1.08,1.1058,0,0,0,0,0,0.0,0.035023041474654404
20210621,1.086,1.096,1.08,1.084,-0.09,1100000000.0,1192400000.0,512880.SH,证券ETF,2570851394.0,34828155.78,195209145.0,32129295.0,220344025.0,3750000.0,2250000.0,2605679549.78,-25134880.0,-10657733.6,-53288668.0,2642521208.7,-71669814.69999981,2.1560310248238848,1.1904375622099261,-1.3035156926885314,1.0782,1.1069999999999998,0,0,0,0,0,0.004612546125461137,0.02583025830258312
20210622,1.088,1.091,1.076,1.08,-0.37,1070000000.0000001,1155600000.0000002,512880.SH,证券ETF,2609217018.0,35088438.6,198807969.0,32489295.0,160442345.0,3250000.0,3610000.0,2644305456.6,38365624.0,-647371.4,-3236857.0,2634560433.5,-25343415.5,2.257889423676012,1.2911483092511937,-0.8541330962867151,1.0786,1.107,0,0,0,0,0,0.03981481481481475,0.01574074074074061
20210623,1.08,1.091,1.072,1.085,0.46,1310000000.0,1421350000.0,512880.SH,证券ETF,2628722218.0,40675885.075,265067584.0,37489295.0,245562384.0,0.0,5000000.0,2669398103.075,19505200.0,-5067638.6,-25338193.0,2631496462.6,-2774244.5999999046,1.849454545326626,0.21601040042640668,-0.5959551192425823,1.0816000000000001,1.1049000000000002,0,0,0,0,0,0.02488479262672816,0.022119815668202758
20210624,1.086,1.101,1.083,1.089,0.37,1290000000.0,1404810000.0,512880.SH,证券ETF,2610522436.0,41954917.455,239813591.0,38526095.0,258013373.0,5250000.0,6286800.0,2652477353.455,-18199782.0,-4199101.8,-20995509.0,2622610265.4,-12087829.400000095,1.8582743830126494,0.13327494009574037,-0.986487610471744,1.0846,1.1031499999999999,0,0,0,0,0,0.007346189164370909,-0.011019283746556474
