ts_code,ann_date,end_date,holder_name,hold_amount,hold_ratio,hold_float_ratio,hold_change,holder_type
600030.SH,20230830,20230630,香港中央结算有限公司,501315511.0,3.3826,4.4104,-105661907.0,一般企业
600030.SH,20230830,20230630,中国建设银行股份有限公司-国泰中证全指证券公司交易型开放式指数证券投资基金,219087656.0,1.4783,1.9275,10531488.0,开放式投资基金
600030.SH,20230830,20230630,中央汇金资产管理有限责任公司,205146964.0,1.3842,1.8048,0.0,资产管理公司
600030.SH,20230830,20230630,大成基金-农业银行-大成中证金融资产管理计划,176785150.0,1.1928,1.5553,0.0,基金专户理财
600030.SH,20230830,20230630,华夏基金-农业银行-华夏中证金融资产管理计划,166143027.0,1.121,1.4617,0.0,基金专户理财
600030.SH,20230830,20230630,中欧基金-农业银行-中欧中证金融资产管理计划,161205735.0,1.0877,1.4182,0.0,基金专户理财
600030.SH,20230428,20230331,广州越秀资本控股集团有限公司,626191828.0,4.2252,0.0,0.0,一般企业
600030.SH,20230428,20230331,广州越秀资本控股集团股份有限公司,305155945.0,2.059,0.0,0.0,一般企业
600030.SH,20230331,20221231,广州越秀金融控股集团有限公司,626191828.0,4.2252,0.0,0.0,一般企业
600030.SH,20230331,20221231,广州越秀金融控股集团股份有限公司,305155945.0,2.059,0.0,0.0,一般企业
600030.SH,20230331,20221231,香港中央结算(代理人)有限公司,2618886796.0,17.6706,,-4749.0,一般企业
600030.SH,20230331,20221231,中国中信有限公司,2299650108.0,15.5166,20.2315,0.0,一般企业
600030.SH,20230331,20221231,香港中央结算有限公司,546047846.0,3.6844,4.8039,45739236.0,一般企业
600030.SH,20230331,20221231,中央汇金资产管理有限责任公司,205146964.0,1.3842,1.8048,0.0,资产管理公司
600030.SH,20230331,20221231,中国建设银行股份有限公司-国泰中证全指证券公司交易型开放式指数证券投资基金,200799033.0,1.3549,1.7666,-13445288.0,开放式投资基金
600030.SH,20230331,20221231,大成基金-农业银行-大成中证金融资产管理计划,176785150.0,1.1928,1.5553,0.0,基金专户理财
600030.SH,20230331,20221231,华夏基金-农业银行-华夏中证金融资产管理计划,166143027.0,1.121,1.4617,0.0,基金专户理财
600030.SH,20230331,20221231,中欧基金-农业银行-中欧中证金融资产管理计划,161205735.0,1.0877,1.4182,0.0,基金专户理财
600030.SH,20221029,20220930,广州越秀金融控股集团有限公司,626191828.0,4.2252,0.0,0.0,一般企业
600030.SH,20221029,20220930,广州越秀金融控股集团股份有限公司,305155945.0,2.059,0.0,0.0,一般企业
600030.SH,20220830,20220630,广州越秀金融控股集团有限公司,626191828.0,4.2252,0.0,0.0,一般企业
600030.SH,20220830,20220630,广州越秀金融控股集团股份有限公司,305155945.0,2.059,0.0,0.0,一般企业
600030.SH,20220830,20220630,香港中央结算(代理人)有限公司,2619039111.0,17.6717,,9065.0,一般企业
600030.SH,20220830,20220630,中国中信有限公司,2299650108.0,15.5166,20.2315,0.0,一般企业
600030.SH,20220830,20220630,香港中央结算有限公司,537007594.0,3.6234,4.7244,-50767613.0,一般企业
600030.SH,20220830,20220630,中央汇金资产管理有限责任公司,205146964.0,1.3842,1.8048,0.0,资产管理公司
600030.SH,20220830,20220630,中国建设银行股份有限公司-国泰中证全指证券公司交易型开放式指数证券投资基金,199525434.0,1.3463,1.7554,-8279965.0,开放式投资基金
600030.SH,20220830,20220630,大成基金-农业银行-大成中证金融资产管理计划,176785150.0,1.1928,1.5553,0.0,基金专户理财
600030.SH,20220830,20220630,华夏基金-农业银行-华夏中证金融资产管理计划,166143027.0,1.121,1.4617,0.0,基金专户理财
600030.SH,20220830,20220630,中欧基金-农业银行-中欧中证金融资产管理计划,161205735.0,1.0877,1.4182,0.0,基金专户理财
600030.SH,20220429,20220331,广州越秀金融控股集团有限公司,626191828.0,4.2252,0.7186,0.0,一般企业
600030.SH,20220429,20220331,广州越秀金融控股集团股份有限公司,305155945.0,2.059,0.3502,0.0,一般企业
600030.SH,20220210,20220127,中国中信有限公司,2299650108.0,15.8829,,299954362.0,一般企业
600030.SH,20220210,20220127,香港中央结算有限公司,627486642.0,4.3338,,42404597.0,一般企业
600030.SH,20220210,20220127,广州越秀金融控股集团有限公司,626191828.0,4.3249,,81677195.0,一般企业
600030.SH,20220210,20220127,广州越秀金融控股集团股份有限公司,305155945.0,2.1076,,39802949.0,一般企业
600030.SH,20220210,20220127,中国建设银行股份有限公司-国泰中证全指证券公司交易型开放式指数证券投资基金,205955844.0,1.4225,,39809806.0,开放式投资基金
600030.SH,20220210,20220127,中央汇金资产管理有限责任公司,205146964.0,1.4169,,26758300.0,资产管理公司
600030.SH,20220210,20220127,大成基金-农业银行-大成中证金融资产管理计划,176785150.0,1.221,,23058933.0,基金专户理财
600030.SH,20220210,20220127,华夏基金-农业银行-华夏中证金融资产管理计划,166143027.0,1.1475,,21670830.0,基金专户理财
600030.SH,20220210,20220127,中欧基金-农业银行-中欧中证金融资产管理计划,161205735.0,1.1134,,21026835.0,基金专户理财
600030.SH,20220210,20220127,广发基金-农业银行-广发中证金融资产管理计划,161057499.0,1.1124,,,基金专户理财
600030.SH,20220329,20211231,广州越秀金融控股集团有限公司,544514633.0,4.2123,0.0,0.0,一般企业
600030.SH,20220329,20211231,广州越秀金融控股集团股份有限公司,265352996.0,2.0527,0.0,0.0,一般企业
600030.SH,20220329,20211231,香港中央结算(代理人)有限公司,2277363142.0,17.6174,,-4000.0,一般企业
600030.SH,20220329,20211231,中国中信有限公司,1999695746.0,15.4694,20.3746,0.0,一般企业
600030.SH,20220329,20211231,香港中央结算有限公司,585082045.0,4.5261,5.9613,129464170.0,一般企业
