ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,abs_pct_chg,vol,amount
000001.SH,20020606,1458.611,1532.735,1455.305,1521.263,1462.0,59.263,4.0536,4.0536,8775636.0,8454171.955
000001.SH,20180209,3172.8509,3180.11,3062.7426,3129.8508,3262.0504,-132.1996,-4.0527,4.0527,256389176.0,272095086.8
000001.SH,20070628,4080.194,4113.283,3912.814,3914.204,4078.599,-164.395,-4.0307,4.0307,97831610.0,127378548.981
000001.SH,20070202,2791.49,2796.436,2666.862,2673.212,2785.432,-112.22,-4.0288,4.0288,85446236.0,65092192.884
000001.SH,20081203,1903.429,1965.83,1902.94,1965.414,1889.638,75.776,4.0101,4.0101,134916124.0,89000038.968
000001.SH,20101116,3007.643,3007.643,2885.753,2894.538,3014.413,-119.875,-3.9767,3.9767,171089373.0,221674190.365
000001.SH,20080418,3200.57,3203.71,3078.174,3094.668,3222.741,-128.073,-3.974,3.974,43665343.0,54581267.325
000001.SH,20090206,2102.078,2185.086,2102.078,2181.239,2098.018,83.221,3.9666,3.9666,160860189.0,120665866.588
000001.SH,20070125,2946.504,2947.149,2853.822,2857.365,2975.129,-117.764,-3.9583,3.9583,117197215.0,92960236.879
000001.SH,20080318,3789.565,3862.772,3607.25,3668.897,3820.048,-151.151,-3.9568,3.9568,57861001.0,79535892.251
000001.SH,20060508,1446.992,1497.202,1446.992,1497.104,1440.223,56.881,3.9495,3.9495,51620655.0,29260804.835
000001.SH,20070228,2734.595,2888.899,2732.884,2881.073,2771.791,109.282,3.9426,3.9426,121479168.0,95421808.386
000001.SH,20061225,2350.128,2452.429,2350.128,2435.762,2343.668,92.094,3.9295,3.9295,73939450.0,47815717.709
000001.SH,20070420,3460.904,3591.461,3460.904,3584.204,3449.016,135.188,3.9196,3.9196,138889292.0,156130185.15
000001.SH,20010806,1953.41,1953.45,1867.86,1882.13,1958.69,-76.56,-3.9087,3.9087,6704113.44,7951114.132
000001.SH,20041014,1386.858,1387.362,1331.131,1332.938,1386.721,-53.783,-3.8784,3.8784,17247771.0,11661332.772
000001.SH,20090226,2201.672,2237.547,2102.346,2121.251,2206.574,-85.323,-3.8668,3.8668,148638852.0,127405686.884
000001.SH,20200724,3310.6449,3319.1268,3184.9645,3196.7684,3325.1102,-128.3418,-3.8598,3.8598,427054026.0,584311865.0
000001.SH,20000106,1406.036,1463.955,1400.253,1463.942,1409.682,54.26,3.8491,3.8491,13480515.0,9520842.349
000001.SH,20060515,1616.259,1664.938,1606.57,1664.088,1602.832,61.256,3.8217,3.8217,87725270.0,52436501.253
000001.SH,20081212,2014.58,2023.177,1932.272,1954.215,2031.681,-77.466,-3.8129,3.8129,108147808.0,73375910.9478
000001.SH,20070801,4488.774,4502.296,4284.871,4300.563,4471.032,-170.469,-3.8127,3.8127,126292874.0,171068701.901
000001.SH,20070723,4091.242,4220.322,4091.242,4213.361,4058.853,154.508,3.8067,3.8067,121668964.0,154332859.452
000001.SH,20110808,2599.289,2614.19,2497.918,2526.816,2626.423,-99.607,-3.7925,3.7925,110302496.0,117550544.112
000001.SH,20180619,2982.6504,2984.9706,2871.3548,2907.8221,3021.9008,-114.0787,-3.7751,3.7751,230550067.0,241203641.1
000001.SH,20090408,2429.879,2435.388,2346.537,2347.385,2439.182,-91.797,-3.7634,3.7634,146809157.0,135641110.591
000001.SH,20050818,1194.436,1201.755,1146.561,1148.035,1192.834,-44.799,-3.7557,3.7557,49201496.0,22157494.652
000001.SH,20080709,2838.863,2920.546,2838.863,2920.546,2814.947,105.599,3.7514,3.7514,97026119.0,105832317.684
000001.SH,20070720,3918.409,4062.116,3918.409,4058.853,3912.941,145.912,3.729,3.729,83110646.0,104714346.682
000001.SH,20070109,2711.049,2809.394,2691.36,2807.804,2707.199,100.605,3.7162,3.7162,110751267.0,86221973.479
000001.SH,20181008,2768.2075,2771.9384,2710.1781,2716.5104,2821.3501,-104.8397,-3.7159,3.7159,149501388.0,141531551.8
000001.SH,20200228,2924.6407,2948.1261,2878.5443,2880.3038,2991.3288,-111.025,-3.7116,3.7116,401216914.0,432657775.0
000001.SH,20120907,2062.99,2145.003,2062.99,2127.762,2051.918,75.844,3.6962,3.6962,139932624.0,111136695.813
000001.SH,20150804,3621.8549,3757.0292,3601.2892,3756.5449,3622.9051,133.6398,3.6887,3.6887,362901666.0,464036242.967
000001.SH,20081113,1837.274,1942.897,1825.883,1927.613,1859.11,68.503,3.6847,3.6847,121067441.0,78179424.9295
000001.SH,20070112,2745.321,2782.025,2652.578,2668.11,2770.11,-102.0,-3.6822,3.6822,107303768.0,73434040.933
000001.SH,20070625,4102.787,4131.13,3912.422,3941.081,4091.445,-150.364,-3.6751,3.6751,101606655.0,140594187.155
000001.SH,20150618,4942.5198,4966.7668,4780.8731,4785.356,4967.8983,-182.5423,-3.6744,3.6744,507440899.0,785845075.22
000001.SH,20081124,1961.206,1974.47,1893.343,1897.06,1969.389,-72.329,-3.6727,3.6727,84519444.0,54807506.4989
000001.SH,20130304,2332.08,2333.54,2259.247,2273.404,2359.506,-86.102,-3.6492,3.6492,161750025.0,143046508.68
000001.SH,20081013,1978.56,2074.468,1931.472,2073.568,2000.572,72.996,3.6488,3.6488,56633806.0,41943161.6576
000001.SH,20080925,2214.584,2333.277,2211.45,2297.501,2216.811,80.69,3.6399,3.6399,101230404.0,83512907.025
000001.SH,20080625,2794.04,2910.481,2784.416,2905.014,2803.019,101.995,3.6388,3.6388,64819105.0,67510404.559
000001.SH,20070515,4055.834,4069.846,3891.363,3899.178,4046.392,-147.214,-3.6382,3.6382,156677553.0,205507368.279
000001.SH,20080821,2484.485,2518.443,2431.046,2431.716,2523.282,-91.566,-3.6288,3.6288,61331990.0,51914051.7796
000001.SH,20091126,3296.014,3305.327,3160.35,3170.98,3290.165,-119.185,-3.6225,3.6225,217978838.0,254470656.1149
000001.SH,20240926,2893.7451,3000.9526,2889.0143,3000.9526,2896.3057,104.6469,3.6131,3.6131,576319261.0,524669070.9
000001.SH,20080317,3941.258,3941.258,3812.999,3820.048,3962.673,-142.625,-3.5992,3.5992,49100273.0,73613176.802
000001.SH,20000107,1477.154,1522.825,1477.154,1516.604,1463.942,52.662,3.5973,3.5973,34515699.0,19487194.485
000001.SH,20041110,1310.319,1360.713,1302.704,1354.386,1307.429,46.957,3.5916,3.5916,23319738.0,14102138.217
000001.SH,20080310,4265.611,4265.611,4120.53,4146.299,4300.515,-154.216,-3.586,3.586,65682205.0,97355257.733
000001.SH,20050401,1180.373,1237.8,1173.543,1223.566,1181.236,42.33,3.5835,3.5835,19660332.0,10792487.11
000001.SH,20150105,3258.627,3369.281,3253.883,3350.519,3234.677,115.842,3.5813,3.5813,531352391.0,549760106.398
000001.SH,20081208,2049.162,2091.284,2038.189,2090.773,2018.656,72.117,3.5725,3.5725,164973061.0,116505288.3073
000001.SH,20081010,1995.957,2027.831,1963.183,2000.572,2074.583,-74.011,-3.5675,3.5675,54077527.0,38454349.969
000001.SH,20070122,2857.896,2934.647,2857.896,2933.19,2832.207,100.983,3.5655,3.5655,138576090.0,103038439.662
000001.SH,20160115,2988.0483,3001.7081,2883.8679,2900.9698,3007.649,-106.6792,-3.5469,3.5469,198721697.0,206603969.247
000001.SH,20150115,3224.07,3337.084,3207.545,3336.455,3222.437,114.018,3.5383,3.5383,282546240.0,330610537.916
000001.SH,20070423,3615.789,3710.886,3615.789,3710.886,3584.204,126.682,3.5345,3.5345,163498116.0,183165718.568
000001.SH,20150915,3043.8047,3081.7028,2983.9203,3005.1722,3114.798,-109.6258,-3.5195,3.5195,249194445.0,243904590.423
000001.SH,20090114,1862.31,1929.276,1862.309,1928.869,1863.367,65.502,3.5152,3.5152,87918051.0,64187216.8995
000001.SH,20150717,3831.4205,3994.4767,3814.1467,3957.3516,3823.1755,134.1761,3.5095,3.5095,481726268.0,593066980.721
000001.SH,20071018,6031.916,6055.473,5804.973,5825.282,6036.281,-210.999,-3.4955,3.4955,69805425.0,130346998.328
000001.SH,20080718,2711.742,2785.53,2665.907,2778.367,2684.778,93.589,3.4859,3.4859,57873500.0,59102962.351
000001.SH,20220316,3107.669,3177.7882,3023.3045,3170.7103,3063.9652,106.7451,3.4839,3.4839,444667189.0,522305342.5
000001.SH,20100524,2596.318,2680.493,2596.318,2673.423,2583.522,89.901,3.4798,3.4798,112497272.0,121771226.188
000001.SH,20150702,4058.6241,4080.3873,3795.2532,3912.7668,4053.6997,-140.9329,-3.4766,3.4766,586015612.0,736006857.593
000001.SH,20070803,4440.976,4562.688,4438.963,4560.774,4407.73,153.044,3.4722,3.4722,115116672.0,173672679.984
000001.SH,20010801,1925.24,1986.94,1925.24,1986.93,1920.32,66.61,3.4687,3.4687,7438926.96,9035162.959
000001.SH,20150616,5004.4118,5029.6836,4842.0999,4887.432,5062.9929,-175.5609,-3.4675,3.4675,550801407.0,895420555.855
000001.SH,20080222,4500.385,4500.385,4333.033,4370.285,4527.177,-156.892,-3.4656,3.4656,67601983.0,109824503.736
000001.SH,20150625,4711.7632,4720.7005,4483.5477,4527.7789,4690.1497,-162.3708,-3.462,3.462,572797533.0,865379730.764
000001.SH,20091124,3352.22,3361.386,3214.026,3223.526,3338.663,-115.137,-3.4486,3.4486,250211554.0,290776929.008
000001.SH,20150729,3689.8249,3792.0722,3612.0641,3789.168,3663.0024,126.1656,3.4443,3.4443,434352085.0,557491964.594
000001.SH,20010115,2097.091,2097.092,2030.288,2032.443,2104.747,-72.304,-3.4353,3.4353,14998588.0,13412559.204
000001.SH,20080715,2886.112,2896.328,2769.914,2779.448,2878.256,-98.808,-3.4329,3.4329,70915234.0,75183081.1798
000001.SH,20040920,1423.972,1463.793,1422.899,1463.221,1414.702,48.519,3.4296,3.4296,41888155.0,26290815.247
000001.SH,20050712,1007.901,1048.918,1004.081,1046.161,1011.499,34.662,3.4268,3.4268,18457805.0,8182997.673
000001.SH,20020121,1406.997,1412.212,1362.618,1366.968,1415.438,-48.47,-3.4244,3.4244,5676971.0,4781876.643
