ts_code,trade_date,price,vol,amount,buyer,seller
600030.SH,20171108,18.11,43.82,793.58,瑞银证券有限责任公司上海花园石桥路证券营业部,中国国际金融股份有限公司上海黄浦区湖滨路证券营业部
600030.SH,20171031,17.32,51.32,888.86,瑞银证券有限责任公司上海花园石桥路证券营业部,中国国际金融股份有限公司上海黄浦区湖滨路证券营业部
600030.SH,20171011,18.05,48.11,868.41,瑞银证券有限责任公司上海花园石桥路证券营业部,国泰君安证券股份有限公司总部
600030.SH,20171011,18.05,34.0,613.7,瑞银证券有限责任公司上海花园石桥路证券营业部,海通证券股份有限公司国际部
600030.SH,20170914,17.89,57.31,1025.28,华福证券有限责任公司广东分公司,光大证券股份有限公司青岛香港西路证券营业部
600030.SH,20170914,17.89,26.48,473.73,华福证券有限责任公司广东分公司,光大证券股份有限公司青岛香港西路证券营业部
600030.SH,20170913,17.91,162.03,2901.98,华福证券有限责任公司广东分公司,光大证券股份有限公司青岛香港西路证券营业部
600030.SH,20170913,17.91,25.0,447.75,华福证券有限责任公司广东分公司,光大证券股份有限公司青岛香港西路证券营业部
600030.SH,20170719,17.58,11.38,200.06,中信建投证券股份有限公司西安市南大街证券营业部,招商证券股份有限公司哈尔滨长江路证券营业部
600030.SH,20170626,17.26,12.0,207.12,中信建投证券股份有限公司西安市南大街证券营业部,中信建投证券股份有限公司总公司交易部
600030.SH,20170608,15.98,270.0,4314.6,东兴证券股份有限公司上海肇嘉浜路证券营业部,国信证券股份有限公司深圳泰然九路证券营业部
600030.SH,20170608,15.98,195.3,3120.89,东兴证券股份有限公司上海肇嘉浜路证券营业部,国信证券股份有限公司深圳泰然九路证券营业部
600030.SH,20170607,15.91,30.0,477.3,东兴证券股份有限公司上海肇嘉浜路证券营业部,国信证券股份有限公司深圳泰然九路证券营业部
600030.SH,20170414,15.53,109.0,1692.77,中信证券股份有限公司上海世纪大道证券营业部,华鑫证券有限责任公司南京中山北路证券营业部
600030.SH,20170330,16.14,60.0,968.4,国泰君安证券股份有限公司北京建国路证券营业部,机构专用
600030.SH,20170330,16.14,50.0,807.0,国泰君安证券股份有限公司北京建国路证券营业部,机构专用
600030.SH,20170329,16.26,150.0,2439.0,国金证券股份有限公司南京江东中路证券营业部,中信建投证券股份有限公司北京市安立路证券营业部
600030.SH,20170322,16.07,1158.04,18609.75,瑞银证券有限责任公司上海花园石桥路证券营业部,瑞银证券有限责任公司上海花园石桥路证券营业部
600030.SH,20170227,15.06,20.0,301.2,申万宏源西部证券有限公司上海浦东新区源深路证券营业部,国泰君安证券股份有限公司上海威海路证券营业部
600030.SH,20170112,15.99,55.0,879.45,东方证券股份有限公司上海浦东新区周东路证券营业部,东方证券股份有限公司上海浦东新区周东路证券营业部
600030.SH,20161123,17.48,437.0,7638.76,瑞银证券有限责任公司上海花园石桥路证券营业部,瑞银证券有限责任公司上海花园石桥路证券营业部
600030.SH,20161024,16.6,19.37,321.54,光大证券股份有限公司销售交易部,华泰证券股份有限公司总部
600030.SH,20161024,16.3,96.78,1577.51,中信证券股份有限公司常州环府路证券营业部,中信证券股份有限公司常州环府路证券营业部
600030.SH,20161011,16.12,55.0,886.6,东方证券股份有限公司上海浦东新区周东路证券营业部,东方证券股份有限公司上海浦东新区周东路证券营业部
600030.SH,20160923,16.29,55.0,895.95,东方证券股份有限公司上海浦东新区周东路证券营业部,东方证券股份有限公司上海浦东新区周东路证券营业部
600030.SH,20160921,16.22,58.32,945.95,海通证券股份有限公司国际部,海通证券股份有限公司国际部
600030.SH,20160908,16.73,179.89,3009.56,九州证券股份有限公司西宁西关大街第二证券营业部,招商证券股份有限公司南宁金湖路证券营业部
600030.SH,20160901,16.67,179.89,2998.77,招商证券股份有限公司南宁金湖路证券营业部,九州证券股份有限公司西宁西关大街第二证券营业部
600030.SH,20160715,16.82,900.0,15138.0,九州证券股份有限公司西宁西关大街第二证券营业部,九州证券股份有限公司西宁西关大街第二证券营业部
600030.SH,20160620,15.66,80.0,1252.8,国信证券股份有限公司广州东风中路证券营业部,广发证券股份有限公司广州环市东路证券营业部
600030.SH,20160617,15.67,80.0,1253.6,广发证券股份有限公司鹤山新城路证券营业部,广发证券股份有限公司广州环市东路证券营业部
600030.SH,20160603,16.5,225.0,3712.5,申万宏源西部证券有限公司杭州体育场路证券营业部,宏信证券有限责任公司成都一环路西三段证券营业部
600030.SH,20151229,19.56,470.0,9193.2,中国国际金融有限公司北京建国门外大街证券营业部,中国国际金融有限公司上海淮海中路证券营业部
