ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
399975.SZ,20090508,922.27,871.764,925.745,869.381,870.077,52.193,0.06,1701077407.0,34096656098.0
399975.SZ,20090515,943.165,929.522,962.36,891.643,922.27,20.895,0.0227,2675758410.0,50432101446.0
399975.SZ,20090522,895.814,937.389,946.01,885.917,943.165,-47.351,-0.0502,1734773812.0,31517279251.0
399975.SZ,20090527,920.334,891.337,936.268,891.337,895.814,24.52,0.0274,1081864307.0,19214694758.0
399975.SZ,20090605,974.759,929.81,1005.507,929.81,920.334,54.425,0.0591,2484149626.0,50470856987.0
399975.SZ,20090612,981.522,981.054,1029.534,960.781,974.759,6.763,0.0069,2016198690.0,41805023809.0
399975.SZ,20090619,1064.213,977.471,1077.408,976.104,981.522,82.691,0.0842,2076849042.0,44830714284.0
399975.SZ,20090626,1014.827,1086.473,1086.473,1006.429,1064.213,-49.386,-0.0464,1892471896.0,41409755556.0
399975.SZ,20090703,1094.865,1016.434,1101.571,1002.861,1014.827,80.038,0.0789,2212876689.0,49075963094.0
399975.SZ,20090710,1192.238,1104.505,1210.799,1104.505,1094.865,97.373,0.0889,2790969344.0,69957630563.0
399975.SZ,20090717,1195.03,1178.477,1228.736,1151.322,1192.238,2.792,0.0023,2031055300.0,52035457970.0
399975.SZ,20090724,1270.746,1198.012,1295.784,1190.172,1195.03,75.716,0.0634,2327319914.0,60163233651.0
399975.SZ,20090731,1338.777,1299.442,1366.309,1252.582,1270.746,68.031,0.0535,2325023332.0,64034242922.0
399975.SZ,20090807,1238.787,1356.303,1365.585,1235.258,1338.777,-99.99,-0.0747,1819817916.0,50610773126.0
399975.SZ,20090814,1153.282,1258.806,1258.806,1117.834,1238.787,-85.505,-0.069,1422508120.0,37905141859.0
399975.SZ,20090821,1025.04,1126.617,1151.264,974.412,1153.282,-128.242,-0.1112,1838986619.0,42688693288.0
399975.SZ,20090828,957.787,1030.568,1032.742,943.273,1025.04,-67.253,-0.0656,1562961417.0,33846172199.0
399975.SZ,20090904,946.463,944.983,955.644,872.358,957.787,-11.324,-0.0118,1490581856.0,30664497230.0
399975.SZ,20090911,987.765,954.431,1000.556,929.364,946.463,41.302,0.0436,1518381213.0,32957653298.0
399975.SZ,20090918,979.268,988.846,1031.601,973.695,987.765,-8.497,-0.0086,1511792551.0,33920689869.0
399975.SZ,20090925,919.678,968.078,976.588,895.311,979.268,-59.59,-0.0609,951781248.0,20238299705.0
399975.SZ,20090930,898.983,922.346,926.046,863.231,919.678,-20.695,-0.0225,448624895.0,8966698313.0
399975.SZ,20091009,944.629,919.657,944.69,918.018,898.983,45.646,0.0508,199372101.0,4108507624.0
399975.SZ,20091016,972.165,945.467,1004.057,926.361,944.629,27.536,0.0292,979375830.0,21229500527.0
399975.SZ,20091023,1045.566,970.98,1058.306,970.163,972.165,73.401,0.0755,1598084235.0,35738696302.0
399975.SZ,20091030,985.172,1048.327,1048.327,974.356,1045.566,-60.394,-0.0578,1151168805.0,25844442564.0
399975.SZ,20091106,1041.154,959.095,1053.666,952.376,985.172,55.982,0.0568,1332344712.0,30154975373.0
399975.SZ,20091113,1062.048,1046.425,1083.295,1036.393,1041.154,20.894,0.0201,1667306509.0,37183273924.0
399975.SZ,20091120,1115.03,1064.335,1120.993,1064.335,1062.048,52.982,0.0499,1296268872.0,33760294169.0
399975.SZ,20091127,995.394,1113.642,1124.672,994.407,1115.03,-119.636,-0.1073,1827759692.0,42333069951.0
399975.SZ,20091204,1163.567,1008.404,1166.357,1008.404,995.394,168.173,0.169,2471301740.0,54249573608.0
399975.SZ,20091211,1115.314,1167.906,1182.064,1104.013,1163.567,-48.253,-0.0415,1769873936.0,41446680474.0
399975.SZ,20091218,1067.692,1106.932,1127.031,1047.761,1115.314,-47.622,-0.0427,1379660115.0,30207125826.0
399975.SZ,20091225,1084.422,1073.24,1097.925,1053.394,1067.692,16.73,0.0157,1346977465.0,28521858018.0
399975.SZ,20091231,1175.264,1104.437,1181.278,1104.437,1084.422,90.842,0.0838,1717374831.0,41454879834.0
