index_code,con_code,trade_date,weight
399975.SZ,601688.SH,20170630,5.768
399975.SZ,601788.SH,20170630,2.877
399975.SZ,601881.SH,20170630,0.754
399975.SZ,601901.SH,20170630,4.033
399975.SZ,000166.SZ,20170731,3.386
399975.SZ,000686.SZ,20170731,1.415
399975.SZ,000712.SZ,20170731,0.828
399975.SZ,000728.SZ,20170731,2.239
399975.SZ,000750.SZ,20170731,1.607
399975.SZ,000776.SZ,20170731,5.002
399975.SZ,000783.SZ,20170731,3.001
399975.SZ,000987.SZ,20170731,0.297
399975.SZ,002500.SZ,20170731,1.867
399975.SZ,002670.SZ,20170731,0.667
399975.SZ,002673.SZ,20170731,2.531
399975.SZ,002736.SZ,20170731,3.336
399975.SZ,002797.SZ,20170731,0.34
399975.SZ,600030.SH,20170731,13.004
399975.SZ,600061.SH,20170731,1.672
399975.SZ,600109.SH,20170731,2.248
399975.SZ,600369.SH,20170731,1.602
399975.SZ,600837.SH,20170731,11.458
399975.SZ,600909.SH,20170731,0.997
399975.SZ,600958.SH,20170731,4.856
399975.SZ,600999.SH,20170731,3.901
399975.SZ,601099.SH,20170731,2.596
399975.SZ,601198.SH,20170731,1.896
399975.SZ,601211.SH,20170731,8.971
399975.SZ,601375.SH,20170731,0.663
399975.SZ,601377.SH,20170731,3.629
399975.SZ,601555.SH,20170731,2.731
399975.SZ,601688.SH,20170731,6.189
399975.SZ,601788.SH,20170731,2.844
399975.SZ,601881.SH,20170731,0.734
399975.SZ,601901.SH,20170731,3.492
399975.SZ,000166.SZ,20170831,3.284
399975.SZ,000686.SZ,20170831,1.384
399975.SZ,000712.SZ,20170831,0.758
399975.SZ,000728.SZ,20170831,2.316
399975.SZ,000750.SZ,20170831,1.648
399975.SZ,000776.SZ,20170831,5.057
399975.SZ,000783.SZ,20170831,3.002
399975.SZ,000987.SZ,20170831,0.281
399975.SZ,002500.SZ,20170831,1.862
399975.SZ,002670.SZ,20170831,0.863
399975.SZ,002673.SZ,20170831,2.54
399975.SZ,002736.SZ,20170831,3.158
399975.SZ,002797.SZ,20170831,0.398
399975.SZ,600030.SH,20170831,12.882
399975.SZ,600061.SH,20170831,1.645
399975.SZ,600109.SH,20170831,2.277
399975.SZ,600369.SH,20170831,1.566
399975.SZ,600837.SH,20170831,11.108
399975.SZ,600909.SH,20170831,1.101
399975.SZ,600958.SH,20170831,4.698
399975.SZ,600999.SH,20170831,4.013
399975.SZ,601099.SH,20170831,2.644
399975.SZ,601198.SH,20170831,1.898
399975.SZ,601211.SH,20170831,8.737
399975.SZ,601375.SH,20170831,0.712
399975.SZ,601377.SH,20170831,3.615
399975.SZ,601555.SH,20170831,2.737
399975.SZ,601688.SH,20170831,6.73
399975.SZ,601788.SH,20170831,2.792
399975.SZ,601881.SH,20170831,0.921
399975.SZ,601901.SH,20170831,3.37
399975.SZ,000166.SZ,20170929,3.214
399975.SZ,000686.SZ,20170929,1.325
399975.SZ,000712.SZ,20170929,0.874
399975.SZ,000728.SZ,20170929,2.282
399975.SZ,000750.SZ,20170929,1.59
399975.SZ,000776.SZ,20170929,5.146
399975.SZ,000783.SZ,20170929,2.96
399975.SZ,000987.SZ,20170929,0.28
399975.SZ,002500.SZ,20170929,1.757
399975.SZ,002670.SZ,20170929,0.8
399975.SZ,002673.SZ,20170929,2.501
399975.SZ,002736.SZ,20170929,3.085
399975.SZ,002797.SZ,20170929,0.448
399975.SZ,600030.SH,20170929,13.116
399975.SZ,600061.SH,20170929,1.656
399975.SZ,600109.SH,20170929,2.275
399975.SZ,600369.SH,20170929,1.505
399975.SZ,600837.SH,20170929,10.957
399975.SZ,600909.SH,20170929,1.056
399975.SZ,600958.SH,20170929,4.58
399975.SZ,600999.SH,20170929,4.483
399975.SZ,601099.SH,20170929,2.604
399975.SZ,601198.SH,20170929,1.859
399975.SZ,601211.SH,20170929,8.936
399975.SZ,601375.SH,20170929,0.678
399975.SZ,601377.SH,20170929,3.637
399975.SZ,601555.SH,20170929,2.685
399975.SZ,601688.SH,20170929,6.768
399975.SZ,601788.SH,20170929,2.779
399975.SZ,601881.SH,20170929,0.924
399975.SZ,601901.SH,20170929,3.243
399975.SZ,000166.SZ,20171031,3.342
399975.SZ,000686.SZ,20171031,1.333
399975.SZ,000712.SZ,20171031,0.838
399975.SZ,000728.SZ,20171031,2.449
399975.SZ,000750.SZ,20171031,1.589
