trade_date,close,market_score,regime,ma20,ma60,atr,grid_lower,grid_upper,target_pos,risk_scale,position,turnover,cost,strategy_ret,benchmark_ret,nav,benchmark_nav,excess_nav
20160127,736.5488,0.14553203238493995,Range,864.3818349999999,1000.3682599999999,44.15279999999998,820.229035,908.5346349999999,1.0,0.22346927954094156,0.22346927954094156,0.0029123911514688794,5.82478230293776e-07,-0.003105234495436403,-0.014076422821688195,0.7772315534684937,0.764590937213232,1.0165325216923626
20160128,719.1973,0.13911854091658107,Range,847.7035899999998,996.5057666666667,40.75775714285712,806.9458328571427,888.461347142857,1.0,0.22407711302988717,0.22407711302988717,0.0006078334889456083,1.2156669778912165e-07,-0.00526457546840076,-0.02355784165285446,0.7731397592988365,0.7465788249851552,1.0355768653286002
20160129,761.3886,0.15628944233214417,Range,833.864955,992.1244616666667,38.996678571428546,794.8682764285714,872.8616335714286,1.0,0.2075469886668431,0.2075469886668431,0.016530124363044074,3.306024872608815e-06,0.013142050192368315,0.05866443046991421,0.7833004008212573,0.790376446553807,0.9910472462034988
20160201,747.6931,0.14114437778888592,Range,824.2010399999999,985.9549683333333,38.47088571428569,785.7301542857142,862.6719257142856,1.0,0.2273217620013435,0.2273217620013435,0.019774773334500395,3.954954666900079e-06,-0.0037372125622627565,-0.017987529626789844,0.7803730407232826,0.7761595268051035,1.0054286699739718
20160202,769.1201,0.14626071376191546,Range,815.571005,980.3577566666667,38.473042857142836,777.0979621428572,854.0440478571428,1.0,0.222716895362857,0.222716895362857,0.004604866638486499,9.209733276972998e-07,0.006513547856734773,0.02865747992057166,0.7854560378701394,0.7984023028596812,0.9837847850097984
20160203,764.7497,0.14104443849900802,Range,805.9663549999999,974.322415,35.84863571428569,770.1177192857142,841.8149907142856,1.0,0.22486000473675688,0.22486000473675688,0.0021431093738998874,4.286218747799775e-07,-0.0012659811922650626,-0.005682337517898706,0.7844616652988448,0.7938655114997649,0.9881543585598592
20160204,777.0553,0.13002803164659155,Range,801.49383,968.0585383333333,34.65562857142855,766.8382014285714,836.1494585714286,1.0,0.25273900095936885,0.25273900095936885,0.027878996222611974,5.575799244522395e-06,0.0036126502350888696,0.01609101644629618,0.7872956509184048,0.8066396145014549,0.9760190756376307
20160205,751.2901,0.12231171630664295,Range,794.5683750000001,961.7891333333333,34.15559999999998,760.4127750000001,828.723975,1.0,0.2545383597531966,0.2545383597531966,0.0017993587938277544,3.598717587655509e-07,-0.008380549682597594,-0.033157485702754896,0.7806976806009901,0.7798934730163473,1.001031176195811
20160215,739.9613,0.10708457459860898,Range,790.696025,955.14724,33.38670714285713,757.3093178571428,824.0827321428571,1.0,0.2869658953994343,0.2869658953994343,0.03242753564623768,6.485507129247537e-06,-0.0038447021560269437,-0.015079128555001597,0.7776961305451783,0.7681333590775271,1.0124493635833436
20160216,775.8324,0.11845003256938916,Range,787.935495,949.336635,34.68291428571427,753.2525807142857,822.6184092857142,1.0,0.2721523540284296,0.2721523540284296,0.014813541371004713,2.9627082742009427e-06,0.01390828147498594,0.0484769946752619,0.7885125472308081,0.8053701558354194,0.9790684960418918
