ts_code,trade_date,trade_dt,close,volume,range_low_120,range_high_120,trading_range_flag,trend_slope_60,volume_trend_20,weekly_trend_26,phase,spring,sos,accumulation_score,future_return_5d,future_return_10d,future_return_20d,spring_success_10d
300759.SZ,20200923,2020-09-23,42.79,45650.43,24.71,50.77,0,0.02343936857211193,-0.2254951127350281,0.8438464931627698,B,0,0,3.8,0.04697359196073836,0.12736620705772395,0.17667679364337463,0
300759.SZ,20200924,2020-09-24,43.12,32494.48,24.71,50.77,0,0.06653475142221121,-0.27431393448256136,0.8438464931627698,B,0,0,4.51,0.05797773654916516,0.11201298701298712,0.148886827458256,0
300759.SZ,20200925,2020-09-25,43.02,39151.85,24.95,50.77,0,-0.032823741007194096,-0.26868916625758943,0.729794933655006,B,0,0,4.92,0.097396559739656,0.07926545792654571,0.13854021385402127,0
300759.SZ,20200928,2020-09-28,42.64,27802.03,25.27,50.77,0,-0.021793989447120965,-0.2868952674601125,0.729794933655006,B,0,0,8.11,0.13133208255159468,0.10201688555347088,0.14399624765478425,0
300759.SZ,20200929,2020-09-29,43.63,30861.72,25.27,50.77,0,0.0137081784386619,-0.28733038265145405,0.729794933655006,B,0,0,6.32,0.11070364428145774,0.09786843914737564,0.1301856520742608,0
300759.SZ,20200930,2020-09-30,44.8,28456.92,25.27,50.77,0,0.04575163398692794,-0.29796733779510987,0.7707509881422923,B,0,0,5.59,0.07678571428571446,0.0725446428571428,0.10580357142857144,0
300759.SZ,20201009,2020-10-09,45.62,32737.28,26.02,50.77,0,0.04801286469101762,-0.3218087787449505,0.7299962078119073,B,0,0,10.25,0.051074090311267195,0.019728189390618267,0.05611573871109177,0
300759.SZ,20201012,2020-10-12,47.21,50864.35,26.02,50.77,0,0.06520758122743686,-0.30890350272980815,0.7299962078119073,B,0,0,16.79,-0.01652192332133029,-0.013768269434441871,0.049353950434229965,0
300759.SZ,20201013,2020-10-13,48.24,29118.69,26.02,50.77,0,0.06302335830762451,-0.3062176236942671,0.7299962078119073,E,0,0,26.44,-0.025912106135986712,0.018242122719734466,0.005597014925373012,0
300759.SZ,20201014,2020-10-14,48.46,33685.57,26.02,50.77,0,0.09390519187358914,-0.29764933613846145,0.7299962078119073,E,0,0,26.47,-0.011555922410235286,0.048080891456871555,-0.03033429632686746,0
300759.SZ,20201015,2020-10-15,48.24,23686.76,26.02,50.77,0,0.09836065573770503,-0.2819414922919701,0.7299962078119073,B,0,0,26.59,-0.00393864013267009,0.04373963515754564,-0.010986733001658422,0
300759.SZ,20201016,2020-10-16,47.95,28322.32,26.02,50.77,0,0.062486151118989586,-0.29506718930346476,0.7310469314079424,E,0,0,26.86,-0.029822732012513065,0.033159541188738206,0.027528675703858196,0
