ts_code,freq,trade_time,trade_date,open,high,low,close,volume,amount,adjust_type,source,updated_at,trade_dt,ma20,ma60,vol_ma20,vol_ma120,atr20,atr20_norm,atr20_change_20,range_low_120,range_high_120,range_width_120,range_width_ratio_120,range_position_120,trend_slope_20,trend_slope_60,volume_trend_20,vol_dry_up_ratio,vol_spike,support_test_count_60,trading_range_flag,weekly_trend_26,weekly_range_pos_26
600030.SH,1d,2020-08-04 15:00:00,20200804,25.12,25.36,24.79,24.96,1792643.56,5430284.355,qfq,tushare,2026-02-28 16:02:51,2020-08-04,25.1965,21.488333333333333,3423292.3835,1939670.9458333333,1.2849999999999997,0.05148237179487178,0.6839844514582101,17.68,28.28,10.600000000000001,0.4246794871794872,0.6867924528301887,-0.029171528588098017,0.2689374682257244,0.41930893537047487,-0.7648830544447136,0,0.0,0,0.25329280648429586,0.6816546762589926
600030.SH,1d,2020-08-05 15:00:00,20200805,24.84,24.96,24.51,24.7,1608571.56,4810607.954,qfq,tushare,2026-02-28 16:02:51,2020-08-05,25.048,21.575499999999998,3158482.754,1938380.6351666667,1.1789999999999998,0.047732793522267204,0.46426429796134516,17.68,28.28,10.600000000000001,0.42914979757085026,0.6622641509433961,-0.10733646548608611,0.268618387262455,0.16326296856493294,-0.6294440300825777,0,0.0,0,0.25329280648429586,0.6816546762589926
600030.SH,1d,2020-08-06 15:00:00,20200806,24.78,27.17,24.36,26.5,3725791.32,11538310.836,qfq,tushare,2026-02-28 16:02:51,2020-08-06,25.006999999999998,21.69183333333333,3065504.4395,1955247.7511666669,1.2349999999999999,0.04660377358490565,0.3228208772359713,17.68,28.28,10.600000000000001,0.4000000000000001,0.8320754716981131,-0.03001464128843334,0.35758196721311486,0.04343566261649845,-0.5678342745418627,0,0.0,0,0.25329280648429586,0.6816546762589926
600030.SH,1d,2020-08-07 15:00:00,20200807,25.52,28.03,25.03,26.4,4866216.0,15412905.332,qfq,tushare,2026-02-28 16:02:51,2020-08-07,25.014999999999997,21.805,3092421.9170000004,1983357.4193333336,1.3225,0.05009469696969697,0.2982566404788627,17.68,28.28,10.600000000000001,0.4015151515151516,0.8226415094339621,0.0060975609756097615,0.34625191228964813,-0.01049263878248341,-0.5591853928372914,1,0.0,0,0.4178302900107409,0.8226415094339621
600030.SH,1d,2020-08-10 15:00:00,20200810,25.87,28.37,25.71,27.43,5373051.51,17749846.194,qfq,tushare,2026-02-28 16:02:51,2020-08-10,25.044999999999998,21.939500000000002,3124261.391,2011236.2663333334,1.3659999999999999,0.04979948960991615,0.23372142773227167,17.68,28.37,10.690000000000001,0.3897192854538827,0.9120673526660429,0.02236302646291466,0.41683884297520657,-0.058811962794372064,-0.5534034679554642,1,0.0,0,0.4178302900107409,0.8226415094339621
600030.SH,1d,2020-08-11 15:00:00,20200811,27.2,27.53,25.73,25.86,3777990.61,12249285.929,qfq,tushare,2026-02-28 16:02:51,2020-08-11,25.0155,22.047833333333333,3150795.873,2015970.6382499998,1.411,0.0545630317092034,0.298418523354413,17.68,28.37,10.690000000000001,0.41337973704563036,0.765201122544434,-0.022306238185255234,0.33574380165289264,-0.08400280484418265,-0.5629175411677156,0,0.0,0,0.4178302900107409,0.8226415094339621
600030.SH,1d,2020-08-12 15:00:00,20200812,25.62,26.13,25.14,25.68,2716803.4,8433158.101,qfq,tushare,2026-02-28 16:02:51,2020-08-12,24.978,22.158166666666666,3058074.5625,2022643.7084166666,1.4054999999999997,0.05473130841121494,0.262258709693203,17.68,28.37,10.690000000000001,0.4162772585669782,0.7483629560336762,-0.028376844494892195,0.3473242392444911,-0.15477892101031587,-0.5119195485466259,0,0.0,0,0.4178302900107409,0.8226415094339621
600030.SH,1d,2020-08-13 15:00:00,20200813,25.75,26.04,25.36,25.51,1630067.43,5060877.432,qfq,tushare,2026-02-28 16:02:51,2020-08-13,25.042499999999997,22.26383333333333,2874294.6689999998,2018865.8849166667,1.3159999999999998,0.0515876127009016,-0.002433549208912811,17.68,28.37,10.690000000000001,0.4190513524108193,0.7324602432179608,0.053261767134599625,0.3307250912884716,-0.253712428275885,-0.42371748934607556,0,0.0,0,0.4178302900107409,0.8226415094339621
600030.SH,1d,2020-08-14 15:00:00,20200814,25.28,26.0,25.21,25.91,1444042.55,4489543.987,qfq,tushare,2026-02-28 16:02:51,2020-08-14,25.156,22.377833333333335,2761935.6675,1998411.2704166668,1.2769999999999997,0.049285989965264364,-0.11699825480951154,17.68,28.37,10.690000000000001,0.41258201466615213,0.7698783910196445,0.09602368866328259,0.3586785527005769,-0.3105464722839886,-0.3820656980803252,0,0.0,0,0.3651211801896732,0.7698783910196445
600030.SH,1d,2020-08-17 15:00:00,20200817,26.44,28.16,26.43,27.23,3835405.77,12647809.495,qfq,tushare,2026-02-28 16:02:51,2020-08-17,25.252,22.514833333333335,2764154.1615,2000912.41175,1.2864999999999998,0.04724568490635328,-0.1476918852602983,17.68,28.37,10.690000000000001,0.39258171134777825,0.8933582787652011,0.07585934413275397,0.43240399789584427,-0.3330453672398829,-0.3814468565780289,0,0.0,0,0.3651211801896732,0.7698783910196445
