ts_code,freq,trade_time,trade_date,open,high,low,close,volume,amount,adjust_type,source,updated_at,trade_dt,ma20,ma60,vol_ma20,vol_ma120,atr20,atr20_norm,atr20_change_20,range_low_120,range_high_120,range_width_120,range_width_ratio_120,range_position_120,trend_slope_20,trend_slope_60,volume_trend_20,vol_dry_up_ratio,vol_spike,support_test_count_60,trading_range_flag,weekly_trend_26,weekly_range_pos_26
300759.SZ,1d,2021-06-04 15:00:00,20210604,77.81,80.72,76.73,79.91,29230.2,539374.799,qfq,tushare,2026-02-28 16:33:26,2021-06-04,76.57900000000001,66.05333333333334,45567.265999999996,50173.108916666664,3.7089999999999987,0.046414716556125626,-0.11812703605928343,42.88,81.64,38.76,0.48504567638593415,0.9553663570691433,0.20527903469079933,0.7777530589543935,0.10741459038579348,0.09179903370780929,0,0.0,0,0.841668587232081,0.9553663570691433
300759.SZ,1d,2021-06-07 15:00:00,20210607,80.16,80.42,76.21,79.61,32801.71,596165.377,qfq,tushare,2026-02-28 16:33:26,2021-06-07,77.0825,66.62916666666668,44863.677,50049.68491666667,3.6875,0.0463195578444919,-0.09520728862191885,42.88,81.64,38.76,0.48687350835322196,0.9476264189886481,0.14480874316939873,0.7667554371948513,0.09770607409033505,0.10361719410025128,0,0.0,0,0.841668587232081,0.9553663570691433
300759.SZ,1d,2021-06-08 15:00:00,20210608,79.65,81.31,76.72,78.68,31760.68,584770.07,qfq,tushare,2026-02-28 16:33:26,2021-06-08,77.46900000000001,67.14450000000001,44340.018,50050.89125,3.7095,0.04714667005592272,-0.05839373948832671,42.88,81.64,38.76,0.49262836807320787,0.9236326109391126,0.10894996476391827,0.6474036850921274,0.10451099769548633,0.11410132981398213,0,0.0,0,0.841668587232081,0.9553663570691433
300759.SZ,1d,2021-06-09 15:00:00,20210609,77.87,81.03,77.07,80.22,38090.47,705162.566,qfq,tushare,2026-02-28 16:33:26,2021-06-09,77.769,67.631,43977.782,50107.37983333333,3.6704999999999997,0.045755422587883315,-0.0577226791141231,42.88,81.64,38.76,0.48317127898279727,0.9633642930856553,0.0808407437348424,0.5720164609053497,0.08956961712455769,0.12232924279260937,0,0.0,0,0.841668587232081,0.9553663570691433
300759.SZ,1d,2021-06-10 15:00:00,20210610,80.51,84.17,79.86,83.27,43480.38,836375.154,qfq,tushare,2026-02-28 16:33:26,2021-06-10,78.26750000000001,68.163,43611.229,50160.730416666665,3.7295000000000003,0.04478803890957128,-0.08130313360246921,43.05,84.17,41.120000000000005,0.49381529962771714,0.9781128404669259,0.13601637107776265,0.621616358325219,0.08023802216741505,0.13057029597181657,0,0.0,0,0.841668587232081,0.9553663570691433
300759.SZ,1d,2021-06-11 15:00:00,20210611,83.47,86.01,82.41,85.41,41150.4,809115.896,qfq,tushare,2026-02-28 16:33:26,2021-06-11,78.857,68.80766666666666,43632.675,50206.263249999996,3.773500000000001,0.04418100924950242,-0.10507472803731743,43.05,86.01,42.96000000000001,0.5029855988760099,0.9860335195530724,0.1601466992665035,0.8277337898566233,0.07203629987697524,0.1309316372992566,0,0.0,0,0.947776510832383,0.9860335195530724
300759.SZ,1d,2021-06-15 15:00:00,20210615,84.04,86.52,82.85,84.99,31183.98,613902.674,qfq,tushare,2026-02-28 16:33:26,2021-06-15,79.309,69.42183333333334,42307.618,50148.500916666664,3.708000000000001,0.043628662195552434,-0.1032214089980491,43.05,86.52,43.47,0.5114719378750442,0.9648033126293996,0.11902567478604342,0.7654756958869962,0.004022712599925926,0.1563532862068221,0,0.0,0,0.947776510832383,0.9860335195530724
300759.SZ,1d,2021-06-16 15:00:00,20210616,84.61,85.37,79.65,80.4,39391.22,744548.258,qfq,tushare,2026-02-28 16:33:26,2021-06-16,79.60900000000001,69.932,41518.371,50110.94925,3.8495000000000004,0.04787935323383085,-0.038276490119595996,43.05,86.52,43.47,0.5406716417910448,0.8592132505175986,0.08064516129032251,0.6147820847559753,-0.04969255764374669,0.17147107326050104,0,0.0,0,0.947776510832383,0.9860335195530724
300759.SZ,1d,2021-06-17 15:00:00,20210617,80.85,82.83,80.84,81.21,28444.58,539836.859,qfq,tushare,2026-02-28 16:33:26,2021-06-17,80.012,70.40433333333334,41495.4475,49998.509333333335,3.8890000000000016,0.0478881911094693,-0.029499603918082595,43.05,86.52,43.47,0.5352789065386037,0.8778467908902691,0.11018455228981527,0.5360317760544733,-0.04059563813863443,0.17006630691016333,0,0.0,0,0.947776510832383,0.9860335195530724
300759.SZ,1d,2021-06-18 15:00:00,20210618,82.59,85.37,81.21,84.31,50838.1,987940.921,qfq,tushare,2026-02-28 16:33:26,2021-06-18,80.334,70.92166666666667,41452.0815,49821.56425,3.8370000000000006,0.04551061558533982,-0.03893921745615936,43.05,86.52,43.47,0.5155972008065473,0.9491603404646884,0.082701939129318,0.5826919466866904,-0.06223310404519311,0.16798916043668788,0,0.0,0,0.7638075313807533,0.9491603404646884
300759.SZ,1d,2021-06-21 15:00:00,20210621,85.58,90.44,83.16,89.54,50747.95,1037028.249,qfq,tushare,2026-02-28 16:33:26,2021-06-21,80.9145,71.53633333333333,41373.74,49897.31408333334,4.050000000000002,0.045231181594817975,-0.04371514333039428,43.05,90.44,47.39,0.529260665624302,0.9810086516142648,0.14897985371487232,0.7003418154196737,-0.08072763617737877,0.17082230256117892,0,0.0,0,0.7638075313807533,0.9491603404646884
300759.SZ,1d,2021-06-22 15:00:00,20210622,88.74,91.69,88.54,90.84,41221.45,868232.869,qfq,tushare,2026-02-28 16:33:26,2021-06-22,81.57950000000001,72.1785,40430.189,49909.46866666667,3.961000000000001,0.04360413914575078,-0.10825136506355881,43.05,91.69,48.64,0.5354469396741524,0.9825246710526317,0.17152437451637859,0.7365704454215256,-0.1317862343149827,0.1899294847231594,0,0.0,0,0.7638075313807533,0.9491603404646884
300759.SZ,1d,2021-06-23 15:00:00,20210623,91.27,94.17,90.49,91.84,46044.21,991434.106,qfq,tushare,2026-02-28 16:33:26,2021-06-23,82.148,72.81316666666666,40566.92,49947.33791666667,3.959000000000002,0.04310757839721256,-0.10699785464700862,43.05,94.17,51.120000000000005,0.5566202090592335,0.9544209702660408,0.14129489250652427,0.7083333333333335,-0.14973607539431077,0.18780616361010438,0,0.0,0,0.7638075313807533,0.9491603404646884
300759.SZ,1d,2021-06-24 15:00:00,20210624,94.38,94.7,88.24,89.92,45084.57,943590.442,qfq,tushare,2026-02-28 16:33:26,2021-06-24,82.66650000000001,73.38783333333332,40909.821,49912.61225,4.187000000000002,0.04656361209964415,-0.023814641579472107,43.05,94.7,51.650000000000006,0.5743994661921709,0.9074540174249758,0.13035826524198613,0.621933621933622,-0.140995921214094,0.18037106943846637,0,0.0,0,0.7638075313807533,0.9491603404646884
300759.SZ,1d,2021-06-25 15:00:00,20210625,90.76,93.77,89.13,92.47,41203.34,877910.523,qfq,tushare,2026-02-28 16:33:26,2021-06-25,83.208,73.925,40182.2635,50027.72349999999,4.264500000000001,0.04611765978155078,0.01978487122584105,43.05,94.7,51.650000000000006,0.5585595328214557,0.9568247821878024,0.13265556099950992,0.5350265604249667,-0.1543737056351493,0.19680008025949836,0,0.0,0,0.8271092669432918,0.9568247821878024
300759.SZ,1d,2021-06-28 15:00:00,20210628,92.56,94.16,91.32,92.48,29493.55,634529.517,qfq,tushare,2026-02-28 16:33:26,2021-06-28,83.9805,74.459,38621.097499999996,49903.00466666667,4.108000000000001,0.04442041522491351,-0.07683675036420123,43.05,94.7,51.650000000000006,0.5584991349480969,0.9570183930300097,0.2005712060236271,0.5301125082726672,-0.20390605319483812,0.22607671105228178,0,0.0,0,0.8271092669432918,0.9568247821878024
300759.SZ,1d,2021-06-29 15:00:00,20210629,92.47,92.99,91.26,92.49,27143.8,579747.195,qfq,tushare,2026-02-28 16:33:26,2021-06-29,84.724,74.94833333333334,37874.61,49693.49766666666,4.068500000000002,0.043988539301546135,-0.07731646518416113,43.05,94.7,51.650000000000006,0.5584387501351499,0.9572120038722167,0.19157433651120837,0.4650720734991287,-0.21656688004708713,0.23783569725651488,0,0.0,0,0.8271092669432918,0.9568247821878024
300759.SZ,1d,2021-06-30 15:00:00,20210630,92.53,93.99,91.27,93.61,27727.67,595996.573,qfq,tushare,2026-02-28 16:33:26,2021-06-30,85.3635,75.433,36719.63,49632.50908333333,4.007000000000002,0.04280525584873413,-0.07176796949431341,43.05,94.7,51.650000000000006,0.5517572908877257,0.9788964181994191,0.158252907696115,0.4506431117309777,-0.23328926999027855,0.2601697823024123,0,0.0,0,0.8271092669432918,0.9568247821878024
300759.SZ,1d,2021-07-01 15:00:00,20210701,93.16,98.36,93.01,96.92,31774.92,711277.953,qfq,tushare,2026-02-28 16:33:26,2021-07-01,86.31750000000001,75.979,36585.6475,49588.655999999995,4.075000000000001,0.042044985555096996,-0.1400994020996449,43.05,98.36,55.31,0.5706768468840281,0.9739649249683602,0.2451181911613567,0.5105985037406484,-0.23099246868351864,0.2622174010927014,0,0.0,0,0.8271092669432918,0.9568247821878024
300759.SZ,1d,2021-07-02 15:00:00,20210702,94.86,95.77,87.09,88.26,64233.22,1346962.468,qfq,tushare,2026-02-28 16:33:26,2021-07-02,86.819,76.35316666666668,38552.31999999999,49787.49875,4.416000000000001,0.05003399048266487,0.05035799690295795,43.05,98.36,55.31,0.626671198731022,0.8173928765141928,0.12821168349737944,0.34113356632730585,-0.1689532459999229,0.22566264689085247,1,0.0,0,0.7018897030466642,0.8173928765141928
300759.SZ,1d,2021-07-05 15:00:00,20210705,87.15,90.83,86.11,87.85,65167.18,1329021.551,qfq,tushare,2026-02-28 16:33:26,2021-07-05,87.216,76.76616666666668,40349.169,49853.60725,4.452500000000002,0.05068298235628916,0.09195932059613598,43.05,98.36,55.31,0.6295959021058624,0.8099801120954618,0.09936178200475543,0.39289678135405093,-0.11451415584160773,0.19064695163056633,1,0.0,0,0.7018897030466642,0.8173928765141928
300759.SZ,1d,2021-07-06 15:00:00,20210706,87.86,87.99,77.74,81.15,114033.3,2165844.583,qfq,tushare,2026-02-28 16:33:26,2021-07-06,87.293,77.05666666666667,44410.7485,50240.13691666667,4.754500000000002,0.05858903265557611,0.2648875633112988,43.05,98.36,55.31,0.681577325939618,0.6888446935454711,0.019344303479462477,0.2735404896421847,-0.010095661574953008,0.11603050418305738,1,0.0,0,0.7018897030466642,0.8173928765141928
300759.SZ,1d,2021-07-07 15:00:00,20210707,81.47,87.15,81.47,86.06,62400.29,1227157.068,qfq,tushare,2026-02-28 16:33:26,2021-07-07,87.662,77.38883333333334,45942.729,50313.78933333334,4.825000000000001,0.05606553567278644,0.18917275825174218,43.05,98.36,55.31,0.6426911457122938,0.7776170674380763,0.0937976614133198,0.30137607742325745,0.036145925786498445,0.08687599147769764,0,0.0,0,0.7018897030466642,0.8173928765141928
300759.SZ,1d,2021-07-08 15:00:00,20210708,86.05,86.64,82.96,84.22,44715.0,880181.822,qfq,tushare,2026-02-28 16:33:26,2021-07-08,87.862,77.72883333333334,46273.9555,50231.72391666667,4.811000000000002,0.05712419852766566,0.248468384658586,43.05,98.36,55.31,0.6567323676086441,0.7443500271198699,0.04986287708800807,0.31964901284863667,0.052212126114045354,0.07879021678078424,0,0.0,0,0.7018897030466642,0.8173928765141928
300759.SZ,1d,2021-07-09 15:00:00,20210709,83.04,87.58,81.61,86.56,47931.31,941509.048,qfq,tushare,2026-02-28 16:33:26,2021-07-09,88.0265,78.12116666666667,46496.502,49819.93991666667,4.894000000000001,0.0565388170055453,0.2623642021857504,43.05,98.36,55.31,0.6389787430683919,0.7866570240462847,0.039510027620992094,0.3735322119961917,0.06615894727479477,0.06670899086240878,0,0.0,0,0.725677830940989,0.7866570240462847
300759.SZ,1d,2021-07-12 15:00:00,20210712,87.57,99.52,84.72,96.8,62514.25,1369962.655,qfq,tushare,2026-02-28 16:33:26,2021-07-12,88.59599999999999,78.67633333333333,47564.6945,49635.7095,5.453999999999999,0.05634297520661156,0.2752758744922992,43.05,99.52,56.47,0.5833677685950414,0.9518328315919957,0.13335674979510603,0.524649551110411,0.09011639786008985,0.041724295287851154,0,0.0,0,0.725677830940989,0.7866570240462847
300759.SZ,1d,2021-07-13 15:00:00,20210713,96.98,97.41,95.35,96.84,33011.63,737415.56,qfq,tushare,2026-02-28 16:33:26,2021-07-13,89.1885,79.23266666666667,47656.077000000005,49348.34716666667,5.3735,0.05548843453118546,0.27183442578356276,43.05,99.52,56.47,0.5831268071045023,0.9525411723038782,0.1394281680197671,0.5260006303183107,0.12641834385476391,0.034292337308710064,0,0.0,0,0.725677830940989,0.7866570240462847
300759.SZ,1d,2021-07-14 15:00:00,20210714,96.54,103.91,95.41,98.71,43947.13,1022246.052,qfq,tushare,2026-02-28 16:33:26,2021-07-14,90.104,79.8185,47883.872500000005,49272.31858333333,5.5125,0.05584540573396819,0.1663776129396135,43.05,103.91,60.86,0.6165535406747037,0.9145580019717384,0.22773631840795994,0.5530207677784769,0.1533177084428483,0.02817902877830014,0,0.0,0,0.725677830940989,0.7866570240462847
300759.SZ,1d,2021-07-15 15:00:00,20210715,98.9,101.24,97.73,100.64,34845.19,805637.193,qfq,tushare,2026-02-28 16:33:26,2021-07-15,91.0755,80.44466666666668,48203.903,49196.662333333334,5.5665,0.05531100953895071,0.15500310739475065,43.05,103.91,60.86,0.6047297297297297,0.9462701281629972,0.23925624923039046,0.5956873315363882,0.16166726482465332,0.020179404175975746,0,0.0,0,0.725677830940989,0.7866570240462847
300759.SZ,1d,2021-07-16 15:00:00,20210716,90.63,95.86,85.84,86.19,144703.82,3045618.874,qfq,tushare,2026-02-28 16:33:26,2021-07-16,91.1695,80.80099999999999,52897.189,50003.4515,6.0985,0.07075646826778048,0.5547244825792472,43.05,103.91,60.86,0.7061143984220908,0.7088399605652317,0.022298659708219537,0.329887363061256,0.27610453048057426,-0.05787075518176965,1,0.0,0,0.6014492753623188,0.7088399605652317
300759.SZ,1d,2021-07-19 15:00:00,20210719,85.93,90.03,84.12,87.8,53420.03,1088868.065,qfq,tushare,2026-02-28 16:33:26,2021-07-19,91.08250000000001,81.14733333333334,53030.793000000005,50169.88133333333,6.029999999999999,0.06867881548974943,0.518395342951151,43.05,103.91,60.86,0.6931662870159453,0.7352941176470589,-0.019432655796292275,0.31005669949268877,0.28175004241821044,-0.057024485421014015,0,0.0,0,0.6014492753623188,0.7088399605652317
300759.SZ,1d,2021-07-20 15:00:00,20210720,87.8,90.33,84.55,86.17,46593.37,937722.537,qfq,tushare,2026-02-28 16:33:26,2021-07-20,90.849,81.46900000000001,53299.389,50269.710999999996,6.161499999999999,0.0715040037135894,0.639844407306857,43.05,103.91,60.86,0.7062782871068817,0.7085113374958923,-0.05140907089387936,0.2886197098848511,0.31830669898674,-0.0602684586748472,0,0.0,0,0.6014492753623188,0.7088399605652317
300759.SZ,1d,2021-07-21 15:00:00,20210721,87.58,89.21,85.42,88.66,52006.07,1054450.53,qfq,tushare,2026-02-28 16:33:26,2021-07-21,90.69,81.84583333333333,53597.482,50021.6445,6.166999999999999,0.06955786149334535,0.613587774576619,43.05,103.91,60.86,0.6864425896683961,0.7494249096286559,-0.034625435540069804,0.3423164269492809,0.32121151913923973,-0.07148580451008568,0,0.0,0,0.6014492753623188,0.7088399605652317
300759.SZ,1d,2021-07-22 15:00:00,20210722,88.87,90.8,87.36,87.83,40398.77,834425.416,qfq,tushare,2026-02-28 16:33:26,2021-07-22,90.5855,82.15333333333334,53363.191999999995,49842.25541666666,6.015999999999998,0.06849595810087668,0.47101899986406215,43.05,103.91,60.86,0.6929295229420471,0.735787052251068,-0.023242882562277578,0.2659267800518883,0.3044103028463505,-0.07064159825632554,0,0.0,0,0.6014492753623188,0.7088399605652317
300759.SZ,1d,2021-07-23 15:00:00,20210723,87.57,88.28,81.82,84.03,55335.38,1079440.702,qfq,tushare,2026-02-28 16:33:26,2021-07-23,90.1635,82.44166666666666,54069.793999999994,49656.48533333334,6.106999999999999,0.0726764250862787,0.5758914357435081,43.05,103.91,60.86,0.7242651434011662,0.6733486690765692,-0.0912728452471071,0.2592537089764724,0.3456134445985104,-0.08887678290239553,0,0.0,0,0.2487739634418189,0.6733486690765692
